Column_Name,Platform,Dataset,Definition,Units,,,,,,,,,,,,,,,,,,,
depth_range,slocum,profiles,Profile Depth Range (maximum - minimum depth) in meters,meters (m),,,,,,,,,,,,,,,,,,,
min_lon,slocum,profiles,Minimum longitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
max_lon,slocum,profiles,Maximum longitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
min_lat,slocum,profiles,Minimum latitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
max_lat,slocum,profiles,Maximum latitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
distance_traveled,slocum,profiles,Distance traveled during profile in meters,meters (m),,,,,,,,,,,,,,,,,,,
time_at_surface_s,slocum,profiles,Length of time at surface in seconds (s),seconds (s),,,,,,,,,,,,,,,,,,,
profile_duration_s,slocum,profiles,Length of time from start to end of profile in seconds (s),seconds (s),,,,,,,,,,,,,,,,,,,
UNIQUE_ID,slocum,detections,"A unique ID for the recorder on the metadata sheet that this detection data can be linked to. There should be only one unique ID for any recorder entered. For each UNIQUE_ID and SPECIES combination, there should be the same combination of values for all of the following fields: CALL_TYPE, DETECTON_METHOD, PROTOCOL_REFERENCE, and ANALYSIS_SAMPLING_RATE_HZ. If multiple values are used across one UNIQUE_ID and SPECIES for any of these fields marked with an asterisk (*), enter all values and separate with a semicolon ("";""). A unique ID should have a combination with the minimum components: organization name or code, region or location of data collection, date for data (typically Year and Month of the first date of data collection), and site name or instrument ID for the particular recorder. Additional components could include project name, platform or recorder type, etc., as needed.",Text string,,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_START_DATETIME,slocum,detections,"Start date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ) (i.e. the start date and time for the time bin of reporting right whales detected for that row of data); for daily presence, the start date would be the beginning date and time for that analysis day). Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_END_DATETIME,slocum,detections,"End date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ) (i.e. the end for the time bin of reporting right whales detected for that row of data). Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_EFFORT_SECONDS,slocum,detections,"The amount of time, in seconds, the effort occurred in (i.e. if the first 5 minutes of every hour analyzed was looked at, this number would be 300).",Numeric,,,,,,,,,,,,,,,,,,,
ANALYSIS_TIME_ZONE,slocum,detections,"The time-zone that the analysis was conducted in and that the time stamps in the ANALYSIS_PERIOD_START_DATETIME match (these may differ from the time zone of the sound files, for example if sound files are in UTC, but analysis was conducted on a local time zone, the analysis time zone would be i.e. UTC-5).",Text string,,,,,,,,,,,,,,,,,,,
SPECIES_CODE,slocum,detections,"The species for which analysis was conducted for and the detection ""ACOUSTIC_PRESENCE"" column pertains to. See Species Code tab to find the appropriate code to use for each species.","BBWH = Beaked Whales, FIWH = Fin Whales, HUWH = Humpback Whales, SPWH = Sperm Whales, UNDO = Unidentified dolphins",,,,,,,,,,,,,,,,,,,
ACOUSTIC_PRESENCE,slocum,detections,"Whether the species was detected, possibly detected, not detected, or not analyzed for. Entry options: D, P, N, M. ""D"" denotes a day with validated species' presence, ""P"" for days that cannot definitively confirm species' presence, ""N"" for no true detections, and ""M"" for data that has not been analyzed for that species' presence, or if the data is missing (i.e. if no recordings are available for that time- use M here for data gap times within a deployment).","""D""; ""P""; ""N""; ""M""",,,,,,,,,,,,,,,,,,,
CALL_TYPE_CODE,slocum,detections,"The call type used for the analysis period to determine the species' presence. See the Call_Type_Code tab to use the appropriate CALL_TYPE_CODE listed for the call type and species descriptions. If an additional call type is used that is not listed in Call_Type_Codes, or a combination of call types are used that are not currently listed, please let nmfs.pacmdata@noaa.gov know upon submission so this field can be updated accordingly. There should be only one code listed per row. No commas should be used in this field.",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_METHOD,slocum,detections,"How the data was reviewed for this species' presence, either ""Manual"" for hand browsing, or the detector used. For example, Manual, LFDCS, ISRAT, Pamguard Click Detector. If there is an available version of the detector, include here (i.e. ISRAT v3.5). If multiple detectors for this SPECIES and UNIQUE_ID were used, separate multiple entries with semicolon ("";"").",Text string,,,,,,,,,,,,,,,,,,,
PROTOCOL_REFERENCE,slocum,detections,"Published reference, DOI, or link to documentation for the detector used, and/or analysis method. If not available, ""Unpublished"" should be used. Separate multiple entries with a semicolon ("";"") and have doi in parenthesis following Author Year (if available). Do not use commas in this field.",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_SOFTWARE_NAME,slocum,detections,"The software used for the detection method. This could be either the standalone software program (i.e. PAMGUARD, Raven), or the name of the programming language the detection method was written in (i.e. IDL, MATLAB).",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_SOFTWARE_VERSION,slocum,detections,"The version number of the software used, if applicable.",Text string,,,,,,,,,,,,,,,,,,,
MIN_ANALYSIS_FREQUENCY_RANGE_HZ,slocum,detections,"The minimum frequency (Hz) used for this analysis, if applicable. Default value is 0 (Hz). If middle frequencies were viewed for this analysis (i.e. 200-1000Hz), this value would be 200.",Hertz (Hz),,,,,,,,,,,,,,,,,,,
MAX_ANALYSIS_FREQUENCY_RANGE_HZ,slocum,detections,"The maximum frequency (Hz) used for the analysis, if applicable. For example, if the original recordings had a sample rate of 48kHz, and the data was either resampled to 2kHz for the analysis, or only viewed at up to 1kHz, then this value would be 1000. Default value is relative to the recordings' sample rate (i.e. if sample rate is 48 kHz, the default value for this field is 24000).",Hertz (Hz),,,,,,,,,,,,,,,,,,,
dive,seaglider,flight_timeseries_engineering,Dive number (sequential starting at 1) for a complete dive (a single 'yo'). A dive begins when the glider submerges to begin a descent and ends when the glider surfaces at the end of an ascent.,numerical integer,,,,,,,,,,,,,,,,,,,
time,seaglider,flight_timeseries_engineering,Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
pitch,seaglider,flight_timeseries_engineering,The angle between the gliders's longitudinal centerline and the horizontal plane of the earth. A positive pitch represents a 'nose-up' attitude; a negative pitch respresents a 'nose-down' attitude.,degrees (°),,,,,,,,,,,,,,,,,,,
roll,seaglider,flight_timeseries_engineering,The angular rotation of the glider around its' longitudinal axis. A positive value is rolled to starboard (starboard wing down).,degrees (°),,,,,,,,,,,,,,,,,,,
heading,seaglider,flight_timeseries_engineering,Measured heading (magnetic),degrees (°),,,,,,,,,,,,,,,,,,,
vbdCC,seaglider,flight_timeseries_engineering,Measurement of the glider's variable buoyancy device (VBD; buoyancy engine) position relative to neutral.,cubic centimeters (cc),,,,,,,,,,,,,,,,,,,
dive,seaglider,flight_timeseries_modeled,Dive number (sequential starting at 1) for a complete dive (a single 'yo'). A dive begins when the glider submerges to begin a descent and ends when the glider surfaces at the end of an ascent.,numerical integer,,,,,,,,,,,,,,,,,,,
time,seaglider,flight_timeseries_modeled,Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
vertSpeed,seaglider,flight_timeseries_modeled,The velocity along the vertical z-axis during the dive. Based on the hydrodynamic model.,centimeters per second (cm/s),,,,,,,,,,,,,,,,,,,
horzSpeed,seaglider,flight_timeseries_modeled,The horizontal velocity through the water during the dive. Based on the hydrodynamic model.,centimeters per second (cm/s),,,,,,,,,,,,,,,,,,,
speed,seaglider,flight_timeseries_modeled,Vehicle speed based on the hydrodynamic flight model.,centimeters per second (cm/s),,,,,,,,,,,,,,,,,,,
speed_qc,seaglider,flight_timeseries_modeled,Flag to for quality of speed calculation. 0 - QC_NO_CHANGE 1 -QC_GOOD 2 - QC_PROBABLY_GOOD 3 - QC_PROBABLY_BAD 4 - QC_BAD 5 - QC_CHANGED 6 - QC_UNSAMPLED 8 - QC_INTERPOLATED 9 - QC_MISSING,n/a,,,,,,,,,,,,,,,,,,,
glideAngle,seaglider,flight_timeseries_modeled,"The downward or upward slope angle at which the vehicle moves through the water relative to the horizontal plane, based on the hydrodynamic model.",degrees (°),,,,,,,,,,,,,,,,,,,
buoyancy,seaglider,flight_timeseries_modeled,"Buoyancy of vehicle, corrected for compression effects, based on the hydrodynamic model.",grams (g),,,,,,,,,,,,,,,,,,,
north_displacement,seaglider,flight_timeseries_modeled,"The estimated distance (in meters) the glider has traveled northward during the dive, based on the hydrodynamic model.",meters (m),,,,,,,,,,,,,,,,,,,
east_displacement,seaglider,flight_timeseries_modeled,"The estimated distance (in meters) the glider has traveled eastward during the dive, based on the hydrodynamic model.",meters (m),,,,,,,,,,,,,,,,,,,
dive,seaglider,GPS_timeseries,Dive number (sequential starting at 1) for a complete dive (a single 'yo'). A dive begins when the glider submerges to begin a descent and ends when the glider surfaces at the end of an ascent.,numerical integer,,,,,,,,,,,,,,,,,,,
startTime,seaglider,GPS_timeseries,Dive Start Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
startLatitude,seaglider,GPS_timeseries,Latitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
startLongitude,seaglider,GPS_timeseries,Longitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
endTime,seaglider,GPS_timeseries,Dive End Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
endLatitude,seaglider,GPS_timeseries,Latitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
endLongitude,seaglider,GPS_timeseries,Longitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
duration_hr,seaglider,GPS_timeseries,Duration (in hours) for the dive,hours (hrs),,,,,,,,,,,,,,,,,,,
distance_km,seaglider,GPS_timeseries,"Straight line distance calculation between start and end lat/lons, haversine formula.",kilometers (km),,,,,,,,,,,,,,,,,,,
maxDepth_m,seaglider,GPS_timeseries,Maximum depth of the dive in meters.,meters (m),,,,,,,,,,,,,,,,,,,
dac_n,seaglider,GPS_timeseries,Northward component of the dive depth-average current based on hydrodynamic model. Calculated as the difference between the expected surface location (from north_displacement) and the actual GPS surface location.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
dac_e,seaglider,GPS_timeseries,Eastward component of the dive depth-average current based on hydrodynamic model. Calculated as the difference between the expected surface location (from east_displacement) and the actual GPS surface location.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
dac_n_gsm,seaglider,GPS_timeseries,Glider Slope Model: Depth averaged current northing.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
dac_e_gsm,seaglider,GPS_timeseries,Glider Slope Model: Depth averaged current easting.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
dac_qc,seaglider,GPS_timeseries,Flag for quality of the depth averaged current calculation. 0 - QC_NO_CHANGE 1 -QC_GOOD 2 - QC_PROBABLY_GOOD 3 - QC_PROBABLY_BAD 4 - QC_BAD 5 - QC_CHANGED 6 - QC_UNSAMPLED 8 - QC_INTERPOLATED 9 - QC_MISSING,n/a,,,,,,,,,,,,,,,,,,,
avg_speed_n,seaglider,GPS_timeseries,Northward component of flight average speed based on hydrodynamic model.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
avg_speed_e,seaglider,GPS_timeseries,Eastward component of flight average speed based on hydrodynamic model.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
avg_speed_n_gsm,seaglider,GPS_timeseries,Glider Slope Model (gsm): Flight average speed northing.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
avg_speed_e_gsm,seaglider,GPS_timeseries,Glider Slope Model (gsm): Flight average speed in easting.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
hdm_qc,seaglider,GPS_timeseries,A quality flag for validity of data dependent on the hydrodynamic model** 0 - QC_NO_CHANGE 1 -QC_GOOD 2 - QC_PROBABLY_GOOD 3 - QC_PROBABLY_BAD 4 - QC_BAD 5 - QC_CHANGED 6 - QC_UNSAMPLED 8 - QC_INTERPOLATED 9 - QC_MISSING,n/a,,,,,,,,,,,,,,,,,,,
dive,seaglider,science_timeseries,Dive number (sequential starting at 1) for a complete dive (a single 'yo'). A dive begins when the glider submerges to begin a descent and ends when the glider surfaces at the end of an ascent.,numerical integer,,,,,,,,,,,,,,,,,,,
time,seaglider,science_timeseries,Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
latitude,seaglider,science_timeseries,"Latitude in decimal degrees (DD.DDDD), estimated from the hydrodynamic model.",decimal degrees,,,,,,,,,,,,,,,,,,,
longitude,seaglider,science_timeseries,"Longitude in decimal degrees (DD.DDDD), estimated from the hydrodynamic model.",decimal degrees,,,,,,,,,,,,,,,,,,,
depth,seaglider,science_timeseries,Depth in meters,meters (m),,,,,,,,,,,,,,,,,,,
temperature,seaglider,science_timeseries,Temperature (in situ).,celcius degrees (°C),,,,,,,,,,,,,,,,,,,
salinity,seaglider,science_timeseries,"Salinity, corrected for thermal-intertia effects.",Practical Salinity Units (PSU),,,,,,,,,,,,,,,,,,,
density,seaglider,science_timeseries,Seawater potential density.,kilograms/cubic meter (kg m-3),,,,,,,,,,,,,,,,,,,
soundVelocity,seaglider,science_timeseries,Underwater sound velocity. Calculated using the Gibbs Seawater Toolbox (GSW) 'gsw_sound_speed' equation.,meters per second (m/s),,,,,,,,,,,,,,,,,,,
UNIQUE_ID,seaglider,detections,"A unique ID for the recorder on the metadata sheet that this detection data can be linked to. There should be only one unique ID for any recorder entered. For each UNIQUE_ID and SPECIES combination, there should be the same combination of values for all of the following fields: CALL_TYPE, DETECTON_METHOD, PROTOCOL_REFERENCE, and ANALYSIS_SAMPLING_RATE_HZ. If multiple values are used across one UNIQUE_ID and SPECIES for any of these fields marked with an asterisk (*), enter all values and separate with a semicolon ("";""). A unique ID should have a combination with the minimum components: organization name or code, region or location of data collection, date for data (typically Year and Month of the first date of data collection), and site name or instrument ID for the particular recorder. Additional components could include project name, platform or recorder type, etc., as needed.",Text string,,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_START_DATETIME,seaglider,detections,"Start date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ) (i.e. the start date and time for the time bin of reporting right whales detected for that row of data); for daily presence, the start date would be the beginning date and time for that analysis day). Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_END_DATETIME,seaglider,detections,"End date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ) (i.e. the end for the time bin of reporting right whales detected for that row of data). Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),,,,,,,,,,,,,,,,,,,
ANALYSIS_PERIOD_EFFORT_SECONDS,seaglider,detections,"The amount of time, in seconds, the effort occurred in (i.e. if the first 5 minutes of every hour analyzed was looked at, this number would be 300).",Numeric,,,,,,,,,,,,,,,,,,,
ANALYSIS_TIME_ZONE,seaglider,detections,"The time-zone that the analysis was conducted in and that the time stamps in the ANALYSIS_PERIOD_START_DATETIME match (these may differ from the time zone of the sound files, for example if sound files are in UTC, but analysis was conducted on a local time zone, the analysis time zone would be i.e. UTC-5).",Text string,,,,,,,,,,,,,,,,,,,
SPECIES_CODE,seaglider,detections,"The species for which analysis was conducted for and the detection ""ACOUSTIC_PRESENCE"" column pertains to. See Species Code tab to find the appropriate code to use for each species.","BBWH = Beaked Whales, FIWH = Fin Whales, HUWH = Humpback Whales, SPWH = Sperm Whales, UNDO = Unidentified dolphins",,,,,,,,,,,,,,,,,,,
ACOUSTIC_PRESENCE,seaglider,detections,"Whether the species was detected, possibly detected, not detected, or not analyzed for. Entry options: D, P, N, M. ""D"" denotes a day with validated species' presence, ""P"" for days that cannot definitively confirm species' presence, ""N"" for no true detections, and ""M"" for data that has not been analyzed for that species' presence, or if the data is missing (i.e. if no recordings are available for that time- use M here for data gap times within a deployment).","""D""; ""P""; ""N""; ""M""",,,,,,,,,,,,,,,,,,,
CALL_TYPE_CODE,seaglider,detections,"The call type used for the analysis period to determine the species' presence. See the Call_Type_Code tab to use the appropriate CALL_TYPE_CODE listed for the call type and species descriptions. If an additional call type is used that is not listed in Call_Type_Codes, or a combination of call types are used that are not currently listed, please let nmfs.pacmdata@noaa.gov know upon submission so this field can be updated accordingly. There should be only one code listed per row. No commas should be used in this field.",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_METHOD,seaglider,detections,"How the data was reviewed for this species' presence, either ""Manual"" for hand browsing, or the detector used. For example, Manual, LFDCS, ISRAT, Pamguard Click Detector. If there is an available version of the detector, include here (i.e. ISRAT v3.5). If multiple detectors for this SPECIES and UNIQUE_ID were used, separate multiple entries with semicolon ("";"").",Text string,,,,,,,,,,,,,,,,,,,
PROTOCOL_REFERENCE,seaglider,detections,"Published reference, DOI, or link to documentation for the detector used, and/or analysis method. If not available, ""Unpublished"" should be used. Separate multiple entries with a semicolon ("";"") and have doi in parenthesis following Author Year (if available). Do not use commas in this field.",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_SOFTWARE_NAME,seaglider,detections,"The software used for the detection method. This could be either the standalone software program (i.e. PAMGUARD, Raven), or the name of the programming language the detection method was written in (i.e. IDL, MATLAB).",Text string,,,,,,,,,,,,,,,,,,,
DETECTION_SOFTWARE_VERSION,seaglider,detections,"The version number of the software used, if applicable.",Text string,,,,,,,,,,,,,,,,,,,
MIN_ANALYSIS_FREQUENCY_RANGE_HZ,seaglider,detections,"The minimum frequency (Hz) used for this analysis, if applicable. Default value is 0 (Hz). If middle frequencies were viewed for this analysis (i.e. 200-1000Hz), this value would be 200.",Hertz (Hz),,,,,,,,,,,,,,,,,,,
MAX_ANALYSIS_FREQUENCY_RANGE_HZ,seaglider,detections,"The maximum frequency (Hz) used for the analysis, if applicable. For example, if the original recordings had a sample rate of 48kHz, and the data was either resampled to 2kHz for the analysis, or only viewed at up to 1kHz, then this value would be 1000. Default value is relative to the recordings' sample rate (i.e. if sample rate is 48 kHz, the default value for this field is 24000).",Hertz (Hz),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
